JobID|State|ExitCode|Elapsed|AllocCPUS|MaxRSS
11215322|COMPLETED|0:0|00:02:14|1|
11215322.batch|COMPLETED|0:0|00:02:14|1|5020K
11215322.extern|COMPLETED|0:0|00:02:14|1|212K
11215322.0|COMPLETED|0:0|00:02:13|1|57992K
11215323|COMPLETED|0:0|00:10:36|1|
11215323.batch|COMPLETED|0:0|00:10:36|1|21356K
11215323.extern|COMPLETED|0:0|00:10:36|1|204K
11215323.0|COMPLETED|0:0|00:10:14|1|62388K
11215324|COMPLETED|0:0|00:06:34|1|
11215324.batch|COMPLETED|0:0|00:06:34|1|5436K
11215324.extern|COMPLETED|0:0|00:06:34|1|208K
11215324.0|COMPLETED|0:0|00:06:25|1|60388K
